ID,date_time,PlotID,SampleID,Location,Cohort1,Time,Plot,Rep,Stype,Svariety1,Bacteria,Weight,Wash_Vol,V1,CFU1,V2,CFU2,V3,CFU3,Enrich1,Presence1
31,7/16/2018 9:00,NY-C1-S3,NY-C1-0-S3-R1,NY,1,0,3,1,Spinach,New,Sal,17.3,69.2,0.1,6,0.25,34,0.01,0,N,
32,7/16/2018 9:00,NY-C1-S3,NY-C1-0-S3-R2,NY,1,0,3,2,Spinach,New,Sal,20.4,81.4,0.1,4,0.25,8,0.01,3,N,
33,7/16/2018 9:00,NY-C1-S3,NY-C1-0-S3-R3,NY,1,0,3,3,Spinach,New,Sal,20.4,81.4,0.1,47,0.25,113,0.01,3,N,
34,7/16/2018 9:00,NY-C1-S3,NY-C1-0-S3-R4,NY,1,0,3,4,Spinach,New,Sal,17.9,71.7,0.1,1,0.25,5,0.01,UAC,N,
35,7/16/2018 9:00,NY-C1-S3,NY-C1-0-S3-R5,NY,1,0,3,5,Spinach,New,Sal,17.2,68.7,0.1,83,0.25,119,0.01,0,N,
36,7/16/2018 9:00,NY-C1-S4,NY-C1-0-S4-R1,NY,1,0,4,1,Spinach,New,Sal,21.3,85,0.1,40,0.25,80,0.01,2,N,
37,7/16/2018 9:00,NY-C1-S4,NY-C1-0-S4-R2,NY,1,0,4,2,Spinach,New,Sal,21.2,84.9,0.1,17,0.25,UAC,0.01,0,N,
38,7/16/2018 9:00,NY-C1-S4,NY-C1-0-S4-R3,NY,1,0,4,3,Spinach,New,Sal,29.1,116.4,0.1,32,0.25,62,0.01,5,N,
39,7/16/2018 9:00,NY-C1-S4,NY-C1-0-S4-R4,NY,1,0,4,4,Spinach,New,Sal,23,91.9,0.1,25,0.25,UAC,0.01,1,N,
40,7/16/2018 9:00,NY-C1-S4,NY-C1-0-S4-R5,NY,1,0,4,5,Spinach,New,Sal,21.6,86.4,0.1,17,0.25,89,0.01,5,N,
41,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R1,NY,1,4,1,1,Spinach,Old,EC,45.5,181.8,1,0,0.1,0,0.01,0,Y,P
42,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R2,NY,1,4,1,2,Spinach,Old,EC,34.2,136.9,1,4,0.1,0,0.01,0,N,
43,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R3,NY,1,4,1,3,Spinach,Old,EC,31.5,126.1,1,14,0.1,0,0.01,0,N,
44,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R4,NY,1,4,1,4,Spinach,Old,EC,64,255.9,1,7,0.1,1,0.01,0,N,
45,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R5,NY,1,4,1,5,Spinach,Old,EC,41.5,165.9,1,12,0.1,1,0.01,0,N,
46,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R1,NY,1,4,2,1,Spinach,Old,EC,48.6,194.4,1,10,0.1,0,0.01,0,N,
47,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R2,NY,1,4,2,2,Spinach,Old,EC,28,112,1,18,0.1,1,0.01,0,N,
48,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R3,NY,1,4,2,3,Spinach,Old,EC,40.5,165.1,1,3,0.1,2,0.01,0,N,
49,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R4,NY,1,4,2,4,Spinach,Old,EC,30,119.8,1,5,0.1,0,0.01,0,N,
50,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R5,NY,1,4,2,5,Spinach,Old,EC,34.1,136.5,1,0,0.1,0,0.01,0,Y,P
51,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R1,NY,1,4,3,1,Spinach,New,EC,17.6,70.4,1,2,0.1,0,0.01,0,N,
52,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R2,NY,1,4,3,2,Spinach,New,EC,19.6,78.5,1,14,0.1,1,0.01,0,N,
53,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R3,NY,1,4,3,3,Spinach,New,EC,20.7,82.7,1,24,0.1,1,0.01,0,N,
54,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R4,NY,1,4,3,4,Spinach,New,EC,17,67.8,1,33,0.1,13,0.01,1,N,
55,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R5,NY,1,4,3,5,Spinach,New,EC,25.3,101.3,1,1,0.1,1,0.01,0,N,
56,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R1,NY,1,4,4,1,Spinach,New,EC,18.7,74.9,1,4,0.1,1,0.01,1,N,
57,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R2,NY,1,4,4,2,Spinach,New,EC,19.3,77,1,4,0.1,2,0.01,0,N,
58,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R3,NY,1,4,4,3,Spinach,New,EC,20.8,83.3,1,6,0.1,0,0.01,0,N,
59,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R4,NY,1,4,4,4,Spinach,New,EC,26.9,107.5,1,4,0.1,0,0.01,0,N,
60,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R5,NY,1,4,4,5,Spinach,New,EC,27,108,1,4,0.1,0,0.01,0,N,
61,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R1,NY,1,4,1,1,Spinach,Old,Sal,45.5,181.8,1,0,0.1,0,0.01,0,Y,P
62,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R2,NY,1,4,1,2,Spinach,Old,Sal,34.2,136.9,1,0,0.1,1,0.01,0,N,
63,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R3,NY,1,4,1,3,Spinach,Old,Sal,31.5,126.1,1,1,0.1,2,0.01,0,N,
64,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R4,NY,1,4,1,4,Spinach,Old,Sal,64,255.9,1,0,0.1,2,0.01,0,N,
65,7/16/2018 13:00,NY-C1-S1,NY-C1-4-S1-R5,NY,1,4,1,5,Spinach,Old,Sal,41.5,165.9,1,1,0.1,3,0.01,0,N,
66,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R1,NY,1,4,2,1,Spinach,Old,Sal,48.6,194.4,1,2,0.1,1,0.01,0,N,
67,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R2,NY,1,4,2,2,Spinach,Old,Sal,28,112,1,4,0.1,2,0.01,1,N,
68,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R3,NY,1,4,2,3,Spinach,Old,Sal,40.5,165.1,1,1,0.1,2,0.01,0,N,
69,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R4,NY,1,4,2,4,Spinach,Old,Sal,30,119.8,1,1,0.1,1,0.01,0,N,
70,7/16/2018 13:00,NY-C1-S2,NY-C1-4-S2-R5,NY,1,4,2,5,Spinach,Old,Sal,34.1,136.5,1,3,0.1,1,0.01,0,N,
71,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R1,NY,1,4,3,1,Spinach,New,Sal,17.6,70.4,1,0,0.1,2,0.01,0,N,
72,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R2,NY,1,4,3,2,Spinach,New,Sal,19.6,78.5,1,7,0.1,1,0.01,0,N,
73,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R3,NY,1,4,3,3,Spinach,New,Sal,20.7,82.7,1,9,0.1,8,0.01,0,N,
74,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R4,NY,1,4,3,4,Spinach,New,Sal,17,67.8,1,5,0.1,7,0.01,2,N,
75,7/16/2018 13:00,NY-C1-S3,NY-C1-4-S3-R5,NY,1,4,3,5,Spinach,New,Sal,25.3,101.3,1,0,0.1,0,0.01,0,N,
76,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R1,NY,1,4,4,1,Spinach,New,Sal,18.7,74.9,1,1,0.1,4,0.01,0,N,
77,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R2,NY,1,4,4,2,Spinach,New,Sal,19.3,77,1,3,0.1,3,0.01,0,N,
78,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R3,NY,1,4,4,3,Spinach,New,Sal,20.8,83.3,1,3,0.1,3,0.01,0,N,
79,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R4,NY,1,4,4,4,Spinach,New,Sal,26.9,107.5,1,0,0.1,4,0.01,0,N,
80,7/16/2018 13:00,NY-C1-S4,NY-C1-4-S4-R5,NY,1,4,4,5,Spinach,New,Sal,27,108,1,1,0.1,1,0.01,0,N,
81,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R1,NY,1,8,1,1,Spinach,Old,EC,43.7,174.8,10,3,1,0,0.1,2,N,
82,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R2,NY,1,8,1,2,Spinach,Old,EC,49.4,197.6,10,4,1,0,0.1,0,N,
83,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R3,NY,1,8,1,3,Spinach,Old,EC,62.1,248.4,10,29,1,1,0.1,0,N,
84,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R4,NY,1,8,1,4,Spinach,Old,EC,39.1,156.2,10,32,1,0,0.1,0,N,
85,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R5,NY,1,8,1,5,Spinach,Old,EC,43.6,174.3,10,87,1,7,0.1,0,N,
86,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R1,NY,1,8,2,1,Spinach,Old,EC,46.2,184.8,10,16,1,4,0.1,0,N,
87,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R2,NY,1,8,2,2,Spinach,Old,EC,28.6,114.3,10,28,1,2,0.1,0,N,
88,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R3,NY,1,8,2,3,Spinach,Old,EC,36.9,147.5,10,7,1,0,0.1,1,N,
89,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R4,NY,1,8,2,4,Spinach,Old,EC,40.2,160.9,10,5,1,0,0.1,0,N,
90,7/16/2018 17:00,NY-C1-S2,NY-C1-8-S2-R5,NY,1,8,2,5,Spinach,Old,EC,34.1,136.3,10,4,1,1,0.1,0,N,
91,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R1,NY,1,8,3,1,Spinach,New,EC,28.7,114.8,10,23,1,2,0.1,0,N,
92,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R2,NY,1,8,3,2,Spinach,New,EC,17.1,68.2,10,0,1,0,0.1,0,Y,P
93,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R3,NY,1,8,3,3,Spinach,New,EC,34.1,136.7,10,1,1,0,0.1,0,N,
94,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R4,NY,1,8,3,4,Spinach,New,EC,35.3,141.2,10,45,1,2,0.1,1,N,
95,7/16/2018 17:00,NY-C1-S3,NY-C1-8-S3-R5,NY,1,8,3,5,Spinach,New,EC,18.9,75.5,10,203,1,12,0.1,1,N,
96,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R1,NY,1,8,4,1,Spinach,New,EC,27.2,108.8,10,227,1,21,0.1,0,N,
97,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R2,NY,1,8,4,2,Spinach,New,EC,26.2,104.8,10,37,1,0,0.1,0,N,
98,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R3,NY,1,8,4,3,Spinach,New,EC,32.2,128.8,10,24,1,0,0.1,1,N,
99,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R4,NY,1,8,4,4,Spinach,New,EC,35.8,143.2,10,25,1,4,0.1,0,N,
100,7/16/2018 17:00,NY-C1-S4,NY-C1-8-S4-R5,NY,1,8,4,5,Spinach,New,EC,34.4,137.6,10,8,1,0,0.1,0,N,
101,7/16/2018 17:00,NY-C1-S1,NY-C1-8-S1-R1,NY,1,8,1,1,Spinach,Old,Sal,43.7,174.8,10,3,1,0,0.1,1,N,
